time,value
0.00000,30.5
0.50000,30.5
1.00000,30.5
1.50000,30.5
2.00000,30.5
2.50000,30.5
3.00000,30.5
3.50000,30.5
4.00000,30.5
4.50000,30.5
5.00000,30.5
5.50000,30.5
6.00000,30.5
6.50000,30.5
7.00000,30.5
7.50000,30.5
8.00000,30.5
8.50000,30.5
9.00000,30.5
9.50000,30.5
10.00000,30.5
10.50000,30.5
11.00000,30.5
11.50000,30.5
12.00000,30.5
12.50000,30.5
13.00000,30.5
13.50000,30.5
14.00000,30.5
14.50000,30.5
15.00000,30.5
15.50000,30.5
16.00000,30.5
16.50000,30.5
17.00000,30.5
17.50000,31.625
18.00000,34.625
18.50000,37.875
19.00000,40.75
19.50000,43.5
20.00000,45.625
20.50000,49.375
21.00000,51.75
21.50000,53.875
22.00000,57.0
22.50000,58.5
23.00000,62.25
23.50000,65.125
24.00000,69.25
24.50000,71.75
25.00000,76.5
25.50000,77.0
26.00000,76.25
26.50000,80.5
27.00000,82.5
27.50000,84.375
28.00000,86.25
28.50000,87.25
29.00000,89.375
29.50000,93.875
30.00000,94.75
30.50000,98.5
31.00000,100.375
31.50000,102.0
32.00000,104.5
32.50000,106.5
33.00000,107.625
33.50000,110.75
34.00000,113.5
34.50000,116.125
35.00000,119.125
35.50000,119.875
36.00000,120.375
36.50000,123.625
37.00000,126.5
37.50000,126.875
38.00000,129.0
38.50000,130.25
39.00000,131.875
39.50000,134.375
40.00000,136.75
40.50000,139.0
41.00000,142.375
41.50000,142.375
42.00000,143.25
42.50000,144.875
43.00000,146.75
43.50000,148.25
44.00000,150.125
44.50000,152.625
45.00000,155.25
45.50000,155.875
46.00000,157.75
46.50000,160.375
47.00000,161.25
47.50000,162.625
48.00000,162.625
48.50000,162.5
49.00000,165.75
49.50000,165.375
50.00000,166.375
50.50000,167.375
51.00000,169.625
51.50000,168.375
52.00000,167.625
52.50000,169.0
53.00000,170.0
53.50000,169.25
54.00000,169.5
54.50000,170.125
55.00000,169.75
55.50000,170.75
56.00000,169.25
56.50000,169.375
57.00000,168.875
57.50000,168.0
58.00000,166.75
58.50000,166.75
59.00000,168.25
59.50000,167.625
60.00000,166.25
60.50000,167.375
61.00000,167.25
61.50000,166.25
62.00000,165.625
62.50000,166.25
63.00000,165.25
63.50000,164.75
64.00000,164.5
64.50000,164.5
65.00000,165.125
65.50000,165.375
66.00000,164.5
66.50000,164.5
67.00000,164.5
67.50000,164.125
68.00000,164.0
68.50000,163.5
69.00000,162.0
69.50000,162.875
70.00000,163.25
70.50000,163.0
71.00000,163.25
71.50000,159.75
72.00000,160.25
72.50000,160.875
73.00000,161.25
73.50000,160.5
74.00000,161.125
74.50000,160.625
75.00000,160.875
75.50000,160.75
76.00000,161.625
76.50000,161.5
77.00000,161.875
77.50000,161.625
78.00000,161.0
78.50000,161.875
79.00000,162.0
79.50000,161.625
80.00000,162.0
80.50000,161.625
81.00000,162.0
81.50000,161.75
82.00000,161.75
82.50000,161.5
83.00000,161.875
83.50000,162.375
84.00000,162.75
84.50000,162.875
85.00000,163.125
85.50000,163.75
86.00000,162.875
86.50000,163.875
87.00000,162.125
87.50000,162.75
88.00000,162.5
88.50000,162.75
89.00000,161.875
89.50000,162.0
90.00000,161.875
90.50000,162.375
91.00000,162.125
91.50000,161.25
92.00000,161.75
92.50000,161.875
93.00000,161.875
93.50000,161.875
94.00000,162.125
94.50000,162.0
95.00000,162.125
95.50000,162.625
96.00000,162.625
96.50000,162.5
97.00000,163.0
97.50000,162.375
98.00000,161.0
98.50000,160.25
99.00000,160.0
99.50000,159.75
100.00000,159.25
100.50000,159.0
101.00000,158.5
101.50000,156.625
102.00000,155.625
102.50000,153.875
103.00000,153.75
103.50000,153.625
104.00000,153.875
104.50000,154.0
105.00000,153.75
105.50000,153.5
106.00000,152.875
106.50000,153.125
107.00000,153.125
107.50000,153.125
108.00000,153.125
108.50000,152.625
109.00000,152.375
109.50000,151.875
110.00000,153.125
110.50000,152.75
111.00000,152.5
111.50000,152.625
112.00000,152.75
112.50000,153.625
113.00000,153.375
113.50000,154.375
114.00000,154.125
114.50000,154.5
115.00000,154.5
115.50000,154.625
116.00000,154.625
116.50000,154.625
117.00000,155.5
117.50000,154.875
118.00000,155.125
118.50000,155.5
119.00000,154.5
119.50000,155.625
120.00000,155.625
120.50000,155.375
121.00000,155.75
121.50000,155.75
122.00000,156.0
122.50000,156.625
123.00000,157.0
123.50000,157.375
124.00000,157.75
124.50000,157.625
125.00000,158.125
125.50000,158.375
126.00000,158.75
126.50000,159.0
